Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,1486,b,,rivet attaching endblade,QiLd-1:1486,,thule 2 harpoon head (copper blade),,08,,,,"NWTNunavut",5.29,,,see above,y,30-0401,yes,"see description.  Very nice piece. Small endblade.  Rounded tip. Cant see base. Copper blade and rivet (length - 5.29), other measurements of blade","hit blade and rivet, but the rivet shot probably includes a good bit of blade as well",,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,1564,,,,QiLd-1:1564,,ulu (upper blade) with whale bone handle and copper blade,,04,02,,,"NWTNunavut",,,,,,,missing,blue tag 'removed for FPH',,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,1643,,,,QiLd-1:1643,,smelted? copper frag,,10,,,,"NWTNunavut",na,na,0.68,1,y,30-0928,yes,appears to be a hammered native sheet.  Also has an associated feather with copper staining and concretions,,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,1727,,,,QiLd-1:1727,,knife with copper blade,,10,,,,"NWTNunavut",na,na,na,na,y,29-0750,yes,"scraper with blade remnants.  This is one of those items where the blade is hafted on the side rather than at the end.  The handle has an interesting shape as well (see photos). Has a wide surface for grip?   Appears to have both iron and copper in the blade slot.  Green staining is visible in the center, so perhaps it was an iron blade that had been replaced by a copper blade? ",remnant material in blade slot is signalling both copper and iron. ,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,1743,,,,QiLd-1:1743,,copper frag,,01,05,,,"NWTNunavut",na,na,na,<0.1,y,30-0930,yes,"tiniest copper fragment of them all.  Theres a fresh break, looks like a piece that came off of something larger",small bromine peak,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,1786,,,,QiLd-1:1786,,"copper bracelet? (smelted copper) Native copper, not smelted",,11,,,,"NWTNunavut",na,2.23,2.87,3.1,,30-0942,yes,"looks like a copper bracelet.  Rounded strip, squarish in cross section, attached through what looks like two eye hole on either end to a piece of cordage that binds them together",,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2076,,,,QiLd-1:2076,,copper endblade,,03 ?,,,,"NWTNunavut",12.5,7.62,0.84,0.2,y,30-0231,yes,tiniest of endblades with the tiniest of rivet holes.  Triangular blade.  Kind of goes to show that damn near any size piece of copper can be utilized - archaeological invisibility of metals,,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2163,,,,QiLd-1:2163,,copper barb,,06,,,,"NWTNunavut",18.24,3.35,3.63,0.8,y,30-0344,yes,"small barb/awl fragment.  Associated organics. Tapers to point, sqaure cross section, wide end fractured",,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2197,,,,QiLd-1:2197,,copper frag,,01,05,,,"NWTNunavut",na,na,na,0.6,y,30-0360,yes,1 small copper fragment and a pebble,,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2276,,,,QiLd-1:2276,,copper flake,,01,05,,,"NWTNunavut",,,,<0.1,y,30-0963,yes,wastage flake,,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2279,,,,QiLd-1:2279,,copper flake,,01,05,,,"NWTNunavut",,,,<0.1,y,30-0971,yes,wastage flake,,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2314,,,,QiLd-1:2314,,copper frag,,01,05,,,"NWTNunavut",,,,,y,30-0965,yes,copper stained organics with fragment,,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QiLd-1,2444,,,,QiLd-1:2444,,wood shaft with copper,,,02,,,"NWTNunavut",,,,,,,missing,blue tag - 'not in cab',,,,,,,2015,,CMH,1980,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QkHn-12,895,,,,,"988.105.114a,b",,,,,,,Nunavut,75.19,30.15-5.80,8.95,13.02,"yes, 2- stained bit socket and background bone",1869-1879,yes,antler handle with green staining where bit was inserted - XRF show stain Is from a copper bit,,,copper engraver with bit,,,,2010,86-595,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaJu-1,153,,,,RaJu-1:153,,copper fragment,,,,,,"NWTNunavut",14.28,5.9,5.03,1.7,y,29-0856,yes,"square cross section, awl fragment.  One end is fractured, the other end comes to a deliberate, squared off point",,,,,,,2015,,CMH,1972,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaJu-1,365,,,,RaJu-1:365,,copper fragment,,,,,,"NWTNunavut",na,na,2.19,0.7,y,29-0863,yes,"hammered fragment, probable wastage flake.  One end appears to have an older cut on it",,,,,,,2015,,CMH,1972,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaJu-1,370,,,,RaJu-1:370,,copper object,,,,,,"NWTNunavut",36.92,8.64,4.14,5.2,y,30-0894,yes,"rough bar, slightly tapered, rough ends. Rect. X section",,,,,,,2015,,CMH,1972,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RbJr-1,57,,,,RbJr-1:57,,copper frag.,,,,,,"NWTNunavut",,,,,,,?,,,,,,,,2015,,CMH,1976,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RbJr-1,292,,,,RbJr-1:292,,Sliver of copper (needle?),,,,,,"NWTNunavut",14.04*,1.17,1.16,<0.1,y,29-0860,yes,"sliver of copper, needle/small barb.  One end tapers to a point, the other is blunt.  Blunt end appears to be a fresh cut/break",,,,,,,2015,,CMH,1984,"Park, Dr. Robert W. - University of Waterloo",2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RbJr-1,374,,,,RbJr-1:374,,Small thin piece of copper,,,,,,"NWTNunavut",28.76,10.65,0.93,1.3,y,30-0180,yes,"small, thin strip.  Both long edges may have been sharp, or at least hammered very thin.  Looks like some evidence of hammering on one side",,,,,,,2015,,CMH,1984,"Park, Dr. Robert W. - University of Waterloo",2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RbJr-5,24,,,,RbJr-5:024,,Copper needle (?),,,,,,"NWTNunavut",27.51*,1.72,0.97,0.2,y,29-0796,yes,looks like a needle.  Distal end tapers to a point.  Proximal end is freshly cut - possible metallography. Proximal end is flattening.  We'll never know if it had an eye I guess,,,,,,,2015,,CMH,,,2475,,B2,,Structure 5,Fill by wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SgFm-14,1,,,,SgFm-14:1,,copper piece,,,,,,"NWTNunavut",26.92,19.68,0.57,1.1,y,30-0146,yes,appears to be a small triangular ulu blade,,,,,,,2015,,CMH,1982,"Schledermann, Dr. Peter - The Arctic Institute of North America",2419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SgFm-4,933,,,,SgFm-4:933,,copper piece,,,,,,"NWTNunavut",39.76,8.43,1.11,1.8,y,29-0791,yes,hammered strip - looks like native sheet.  None of the edges are sharpened,,,,,,,2015,,CMH,1980,"Schledermann, Dr. Peter - The Arctic Institute of North America",2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,IX-C:7,,iron endblade with copper rivet on bone handle,,,,,,,,,,,,1-0616,poor provenience,iron endblade with copper rivet on bone handle,,,"Desc. - Lance head made of bone and iron or steel.  Location - Eskimo Point, West Coast of Hudson Bay. Collector - E.W. Hawkes. Date - Oct. 24 1914. Acc. 148",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,IX-C:20,,iron blade on bone shaft,,,,,,,,,,,,,poor provenience,I shot this one trying to find a meteorite.  No Nickel to speak of. Has copper and arsenic,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,,,XI-B:93,,"copper nugget, showing work",,,,,,Yukon Territory,,,,2160,,30-0111,poor provenience,"very big nugget - has definitely been hammered on in several places.  There is one edge that is straigher, it looks like a piece may have been broken off here.  Right around this area is the highest amount of hammering marks",,,"Desc. - copper nugget, showing work. Location - White River. Collector - Douglas Leechman. Date - 30/07/1945. Acc. - 662. Remarks - Presented by ""Buck"" Dickson",,,,2015,,CMH,1945,"Dickson, B.",662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,,,,IX-D:160,,ivory back or shank of fish hook (had copper point which was lost by finder),,,,,,NWT,,,,,,28-0226,poor provenience,"fishing spoon, hook is missing.  Xrf of the most distal hole shows iron staining, not copper.  5 holes in spoon, see photos for placement","XRF says staining around the larger hole (most distal) is iron, not copper (photo 25-0677 shows where stain was - on most distal, angled hole)",,"Desc - Ivory back or shank of fish hook. Had copper point which was lost by finder.  Location - Darnley Bay, [added in pencil] Northwest Territories. Collector - Canadian Arctic Expedition. Date - 1914. Accn - 184",,,,2015,,CMH,1914,Canadian Arctic Expedition,0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,,,,XI-B:179,,188 copper nuggets,,,,,,Yukon Territory,na,na,na,512.1,y,30-0080,poor provenience,"the vast majority of this looks like native copper, but there is a dusting of iron corrosion over a lot of it.  combined wieght of all of it.  XRF shots - (a) 2 sides, one copper looking the other iron looking. (b) iron dusted copper nugget. © appears to be equal parts iron and copper, thats wierd. (d)largest nugget - very little iron peak",,,"Desc. - [188] copper nuggets. Location - Shorty Creek.  Collector - H.S. Bostock. Date - Sept 10 1945. Acc. - 5662. Remarks - As used in recent culture 60° 24' N, 137° 10'W - JcVg -[?]",,,,2015,,CMH,1945,"Bostock, Dr. Hugh SamuelBostock, Dr. Hugh Samuel",662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,184,,,,XI-B:184,,copper point for arrow,,,,,,Yukon Territory,79.61,16.24,3.08,11.7,y,30-0073,poor provenience,"nice spear point, long, pointed blade with leaf shaped shoulders, tang visible throughout body. Tang rectangular in cross section, tapers to a rough end",,,"Desc. - Copper point for arrow. Location - Found in sluicebox on Shorty Creek, S. of Kluane Lake.  Collector - Gus Loland, Burwash Creek. Date - none. Acc. - 5662. Remarks - presented via H.S. Bostock",,,,2015,,CMH,1945,"Loland, Gus.Loland, Gus.",662,,,,,"Found in a sluicebox on Shorty Creek, South of Kluane Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,211,,,,IX-D:211,,copper flaked lance head with bone handle,,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Desc - copper flaked lance head, with bone handle. Location - From old stone grave, Read Is., Dolphin and Union St., [added in pencil] Nunavut.  Collector - Capt. F. Bernard. Date - Purchased Mar. 1921 [date accesioned?]. Accn- 251 (associated with IX-D:192)",,,,2015,,CMH,1920,"Bernard, Captain JosephCanadian Arctic Expedition",0251,,,,,From old stone grave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,,,,XI-B:280,,copper blade,,,,,,Yukon Territory,,,,,,,poor provenience,blue tag - 'not located - missing ship 2004',,,"Desc. - copper blade. Location - Carcross, Y.T.  Collector - Jim Scotty. Date - 24/11/1949. Acc. - 803. No remarks",,,,2015,,CMH,1949,"Scotty, J.",803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,468,,,,IX-D:468,,"arrow head, antler with slate blade and copper rivet.",,,,,,NWT,8.4,na,na,na,y,28-0215,poor provenience,slate blade with copper rivet in harpoon head.  Proximal antler head seems to be a complete version of the form seen in IX-C:4697 c.  This answers the question of whether slate blades were riveted.  Measurements are of rivet,,,"Desc - arrowhead, antler, slate blade, copper rivet.  Location - Coronation Gulf. Collector - Lincoln Washburn. Date - 1940. Accn - 602",,,,2015,,CMH,1941,"Washburn, L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,694,,,,XI-C:694,,copper pot,,,,,,NWT,,,,,,,poor provenience,"historic, not pulled",,,,,,,2015,,CMH,1972,"Clark, Dr. Donald Woodforde",1989,,,,,"Surface near outlet of Great Bear Lake, about 1 mile NW of Great Bear Lake about 1 mile NW of Great Bear River, several hundred feet inland from Lakeshore associated wtih traces of recent camping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,695,,,,XI-C:695,,copper pot,,,,,,NWT,,,,,,,poor provenience,"historic, not pulled",,,,,,,2015,,CMH,1972,"Clark, Dr. Donald Woodforde",1989,,,,,From old settlement area a few hundred yards NE of NE end of present Fort Franklin settlement scattered in bushes where cabins were located up to about 1940.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,696,,,,XI-C:696,,copper pot,,,,,,NWT,,,,,,,poor provenience,"historic, not pulled",,,,,,,2015,,CMH,1972,"Clark, Dr. Donald Woodforde",1989,,,,,From old settlement area a few hundred yards NE of NE end of present Fort Franklin settlement scattered in bushes where cabins were located up to about 1940.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,697,,,,XI-C:697,,copper pot,,,,,,NWT,,,,,,,poor provenience,"historic, not pulled",,,,,,,2015,,CMH,1972,"Clark, Dr. Donald Woodforde",1989,,,,,From old settlement area a few hundred yards NE of NE end of present Fort Franklin settlement scattered in bushes where cabins were located up to about 1940.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,698,,,,XI-C:698,,copper pot,,,,,,NWT,,,,,,,poor provenience,"historic, not pulled",,,,,,,2015,,CMH,1972,"Clark, Dr. Donald Woodforde",1989,,,,,From old settlement area a few hundred yards NE of NE end of present Fort Franklin settlement scattered in bushes where cabins were located up to about 1940.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1066.11,,,,IV-D-1066.11,,Arrow head with copper blade inserted into antler shaft and held in place by one copper rivet. Four barbs along one side. Butt pointed with two barbs on opposite side. Blade of irregular shape.,,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Location - Bernard Harbor. Collector - Diamond Jenness. Date - 1916,,,,2015,,CMH,19160000,"Jenness, Dr. Diamond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1066.13,,,,IV-D-1066.13,,"Bone blade with low ridge following edge inward and four cutting edges at point. Blade inserted in antler shaft and held in place by one copper rivet. One big barb on one side, barb being notched (3). Very slightly serrated on the other side. Butt pointed",,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Location - Bernard Harbor. Collector - Diamond Jenness. Date - 1916,,,,2015,,CMH,19160000,"Jenness, Dr. Diamond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1066.14,,,,IV-D-1066.14,,Triangular copper blade inserted in an antler shaft and held in place by one copper rivet. Three barbs along one side. Butt pointed with two slight barbs on opposite sides.,,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Location - Bernard Harbor. Collector - Diamond Jenness. Date - 1916,,,,2015,,CMH,19160000,"Jenness, Dr. Diamond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1066.18,,,,IV-D-1066.18,,partly worked piece of copper,,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Location - Bernard Harbor. Collector - Diamond Jenness. Date - 1916,,,,2015,,CMH,19160000,"Jenness, Dr. Diamond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1066.5,,,,IV-D-1066.50,,"Flaring scoop and short upturned tab handle. Darkened. Big hole in bottom with copper rivets around. Big split in one corner with one copper rivet. Split on top of one side repaired with bone plate on outside, held in place by five copper rivets. Two spli",,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Location - Bernard Harbor. Collector - Diamond Jenness. Date - 1916,,,,2015,,CMH,1916/06/21,"Jenness, Dr. Diamond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1640,,,,IV-D-1640,,"Iron-bladed knife.  Triangular two-edged blade inserted in handle of bone, held in place by one copper ? rivet.  T-shaped piece of bone held to body of handle by three copper rivets.  One empty hole in handle, one small hole in butt.  Bone whitened.",,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1655,,,,IV-D-1655,,"fish hook, bone and metal",,,,,,,,,,,,,poor provenience,was not on original list - possibly Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Collector - J. Bernard. Date - before 1921. Location - Kugaryuak River,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1657,,,,IV-D-1657,,knife with bone handle and copper blade,,,,,,,,,,,,,poor provenience,was not on original list - possibly Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Collector - J. Bernard. Date - before 1921. Location - Kugaryuak River,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1658,,,,IV-D-1658,,"Harpoon head with bone blade.  Complete. Thule type 4 but with endblade slot parallel to the axis of the line hole rather than perpendicular to it. The head is of bone or antler, has a closed socket, single asymmetrical spur, an oval line hole and deep bl",,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,Collector - J. Bernard. Date - before 1921. Location - Kugaryuak River,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2194,,,,IX-C:2194,,"harpoon head, open socket, copper wedge in line hole",,,,,,NWT,na,na,na,na,y,28-0242,poor provenience,see description.  Copper wedge in 'line hole',,,"Desc.  - Harpoon head. Location - Cape Dorset, Baffin Island. Collector - J.D. Soper. Date - 1928. Acc.  - 2645 Remarks - Copper wedge in line hole, open socket",,,,2015,,CMH,1928,"Soper, Mr. Joseph Dewey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4365,,,,IX-C:4365,,copper ball with two holes,,,,,,NWT,,,,,,28-0261,poor provenience,"don't know what this is, but I know its historic",,,"**added to catalogue in pencil - the following is the info for all of the surrounding entries, which are likely correct for this one as well**  Desc - copper ball with 2 holes. Location - Igloolik. Collector - Fr. Dutilly. Date - 1939. Acc- 2421",,,,2015,,CMH,1939,"Dutilly, Father A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6376,,,,IX-C:6376,,copper nail,,,,,,NWT,na,na,na,na,y,28-0218,poor provenience,historic nail - clean signal.  Square in X section - looks a lot like a finely made awl form.  This may complicate things,"clean signal, but almost certainly a historic nail",,"Desc - copper nail. Location - Dundas Harbour. Collector - Douglas Leechman. Accn. - 2958. Remarks - Presented by H.J. Soane[sp?], 32 LindenLee.  Received from W. Hamilton - Thule Culture",,,,2015,,CMH,1955,"Hamilton, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6997,,,,IX-C:6997,,native copper wedge,,,,,,NWT,,,,1800,y,"28-0115, 30-0142",poor provenience,"flat slab of native copper that has been used as a splitting wedge?  On side has been hammered into an edge, and the other has been hammered into a platform that is perpendicular to the main axis of the slab",,,"Desc - native copper axe [axe crossed out and replaced with wedge] Copper Inuit.  Location - 1 mi. upstream from Old Fort Brahant on S.E. shore of Prince Albert Sound, Victoria Island. Collector - Gunther Abrahamson, D.N.A. & N.R.  Date - '63.  Accn. - 1468.  Remarks - Large tent rings nearby. Many sites at head of Prince Albert Sound. One site at head of Minto Inlet.",,,,2015,,CMH,1963,"Abrahamson, Gunther",1468,,,,,Surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7377,,,,IX-C:7377,,bone harpoon head with copper pin,,,,,,NWT,12.36,2.92,na,na,y,28-0190,poor provenience,"very wide harpoon (?) head.  Interesting morphology of the bone head, unsure if it is fragmentary and worn smooth on the proximal end or if this is the complete form.  Distal end (blade slot) is fractured (maybe?), exposing iron staining (confirmed with xrf).  single, central copper rivet in blade slot.  rivet is deformed very little on the ends, which is odd for a copper rivet (historic?), X section is circular - width is dia",,,Desc - Bone harpoon head with copper pin.  Location - Northern Baffin Island. Collector - Roussliere. Date - 1971. Accn. - 1819. Remarks - scattered surface finds given to him by Eskimos.,,,,2015,,CMH,1970,"Mary-Rousselière, Father Guy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1356 a,,,,IV-D-1356 a,,"Arrow head, copper blade inserted in bone shaft and held in place by one copper rivet. One long bard along opposite sides, one broken. Butt, pointed, inserted in a wooden cylinder partly lashed with sinew",,,,,,NWT,,,,,,,poor provenience,,,,Location - Bernard Harbor. Collector - Diamond Jenness. Date - 1916,,,,2015,,CMH,1916//-1917//,"Stefansson, Vilhjalmur - Canadian Arctic Expedition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 b,,,,IV-D-1665 b,,knife with antler handle and iron blade,,,,,,,,,,,,,poor provenience,was not on original list - probably Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 i,,,,IV-D-1665 i,,antler harpoon head with copper endblade,,,,,,,,,,,,,poor provenience,was not on original list - probably Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 j,,,,IV-D-1665 j,,antler harpoon head with copper endblade,,,,,,,,,,,,,poor provenience,was not on original list - probably Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 k,,,,IV-D-1665 k,,antler harpoon head with copper endblade,,,,,,,,,,,,,poor provenience,was not on original list - probably Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 n,,,,IV-D-1665 n,,antler harpoon head with copper endblade,,,,,,,,,,,,,poor provenience,was not on original list - probably Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 o,,,,IV-D-1665 o,,antler harpoon head with copper endblade,,,,,,,,,,,,,poor provenience,was not on original list - probably Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 q,,,,IV-D-1665 q,,A small copper point.,,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1665 r,,,,IV-D-1665 r,,A very small copper point.,,,,,,NWT,,,,,,,poor provenience,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Collector - J. Bernard. Date - before 1921. Location - Lady Franklin Point, Victoria Island",,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
